i,size,capacity
0,1,1
1,2,2
2,3,4
4,5,8
8,9,16
16,17,32
32,33,64
64,65,128
128,129,256
256,257,512
512,513,1024
1000,1001,1024
1024,1025,2048
2000,2001,2048
2048,2049,4096
3000,3001,4096
4000,4001,4096
4096,4097,8192
5000,5001,8192
6000,6001,8192
7000,7001,8192
8000,8001,8192
8192,8193,16384
9000,9001,16384
10000,10001,16384
11000,11001,16384
12000,12001,16384
13000,13001,16384
14000,14001,16384
15000,15001,16384
16000,16001,16384
16384,16385,32768
17000,17001,32768
18000,18001,32768
19000,19001,32768
20000,20001,32768
21000,21001,32768
22000,22001,32768
23000,23001,32768
24000,24001,32768
25000,25001,32768
26000,26001,32768
27000,27001,32768
28000,28001,32768
29000,29001,32768
30000,30001,32768
31000,31001,32768
32000,32001,32768
32768,32769,65536
33000,33001,65536
34000,34001,65536
35000,35001,65536
36000,36001,65536
37000,37001,65536
38000,38001,65536
39000,39001,65536
40000,40001,65536
41000,41001,65536
42000,42001,65536
43000,43001,65536
44000,44001,65536
45000,45001,65536
46000,46001,65536
47000,47001,65536
48000,48001,65536
49000,49001,65536
50000,50001,65536
51000,51001,65536
52000,52001,65536
53000,53001,65536
54000,54001,65536
55000,55001,65536
56000,56001,65536
57000,57001,65536
58000,58001,65536
59000,59001,65536
60000,60001,65536
61000,61001,65536
62000,62001,65536
63000,63001,65536
64000,64001,65536
65000,65001,65536
65536,65537,131072
66000,66001,131072
67000,67001,131072
68000,68001,131072
69000,69001,131072
70000,70001,131072
71000,71001,131072
72000,72001,131072
73000,73001,131072
74000,74001,131072
75000,75001,131072
76000,76001,131072
77000,77001,131072
78000,78001,131072
79000,79001,131072
80000,80001,131072
81000,81001,131072
82000,82001,131072
83000,83001,131072
84000,84001,131072
85000,85001,131072
86000,86001,131072
87000,87001,131072
88000,88001,131072
89000,89001,131072
90000,90001,131072
91000,91001,131072
92000,92001,131072
93000,93001,131072
94000,94001,131072
95000,95001,131072
96000,96001,131072
97000,97001,131072
98000,98001,131072
99000,99001,131072
100000,100001,131072
101000,101001,131072
102000,102001,131072
103000,103001,131072
104000,104001,131072
105000,105001,131072
106000,106001,131072
107000,107001,131072
108000,108001,131072
109000,109001,131072
110000,110001,131072
111000,111001,131072
112000,112001,131072
113000,113001,131072
114000,114001,131072
115000,115001,131072
116000,116001,131072
117000,117001,131072
118000,118001,131072
119000,119001,131072
120000,120001,131072
121000,121001,131072
122000,122001,131072
123000,123001,131072
124000,124001,131072
125000,125001,131072
126000,126001,131072
127000,127001,131072
128000,128001,131072
129000,129001,131072
130000,130001,131072
131000,131001,131072
131072,131073,262144
132000,132001,262144
133000,133001,262144
134000,134001,262144
135000,135001,262144
136000,136001,262144
137000,137001,262144
138000,138001,262144
139000,139001,262144
140000,140001,262144
141000,141001,262144
142000,142001,262144
143000,143001,262144
144000,144001,262144
145000,145001,262144
146000,146001,262144
147000,147001,262144
148000,148001,262144
149000,149001,262144
150000,150001,262144
151000,151001,262144
152000,152001,262144
153000,153001,262144
154000,154001,262144
155000,155001,262144
156000,156001,262144
157000,157001,262144
158000,158001,262144
159000,159001,262144
160000,160001,262144
161000,161001,262144
162000,162001,262144
163000,163001,262144
164000,164001,262144
165000,165001,262144
166000,166001,262144
167000,167001,262144
168000,168001,262144
169000,169001,262144
170000,170001,262144
171000,171001,262144
172000,172001,262144
173000,173001,262144
174000,174001,262144
175000,175001,262144
176000,176001,262144
177000,177001,262144
178000,178001,262144
179000,179001,262144
180000,180001,262144
181000,181001,262144
182000,182001,262144
183000,183001,262144
184000,184001,262144
185000,185001,262144
186000,186001,262144
187000,187001,262144
188000,188001,262144
189000,189001,262144
190000,190001,262144
191000,191001,262144
192000,192001,262144
193000,193001,262144
194000,194001,262144
195000,195001,262144
196000,196001,262144
197000,197001,262144
198000,198001,262144
