algorithm,initial_data,array_size,time_ns
bubble_sort,best,1000,150100
bubble_sort,average,1000,381600
bubble_sort,worst,1000,299300
insertion_sort,best,1000,800
insertion_sort,average,1000,79700
insertion_sort,worst,1000,149500
selection_sort,best,1000,1132800
selection_sort,average,1000,1145500
selection_sort,worst,1000,1247400
merge_sort,best,1000,229600
merge_sort,average,1000,63900
merge_sort,worst,1000,29900
quick_sort,best,1000,352100
quick_sort,average,1000,45400
quick_sort,worst,1000,493100
heap_sort,best,1000,50100
heap_sort,average,1000,41700
heap_sort,worst,1000,42100
bubble_sort,best,2000,1315400
bubble_sort,average,2000,1609400
bubble_sort,worst,2000,1179700
insertion_sort,best,2000,3300
insertion_sort,average,2000,321900
insertion_sort,worst,2000,725200
selection_sort,best,2000,4573200
selection_sort,average,2000,4791100
selection_sort,worst,2000,4868000
merge_sort,best,2000,58200
merge_sort,average,2000,136600
merge_sort,worst,2000,61300
quick_sort,best,2000,1769700
quick_sort,average,2000,106400
quick_sort,worst,2000,1602700
heap_sort,best,2000,113800
heap_sort,average,2000,112700
heap_sort,worst,2000,95500
bubble_sort,best,3000,3038000
bubble_sort,average,3000,3457200
bubble_sort,worst,3000,5112300
insertion_sort,best,3000,4400
insertion_sort,average,3000,863700
insertion_sort,worst,3000,1409600
selection_sort,best,3000,10622000
selection_sort,average,3000,10891200
selection_sort,worst,3000,10781600
merge_sort,best,3000,86800
merge_sort,average,3000,180800
merge_sort,worst,3000,102500
quick_sort,best,3000,2927100
quick_sort,average,3000,156000
quick_sort,worst,3000,2250900
heap_sort,best,3000,169600
heap_sort,average,3000,152300
heap_sort,worst,3000,153000
bubble_sort,best,4000,2344600
bubble_sort,average,4000,6162300
bubble_sort,worst,4000,5306300
insertion_sort,best,4000,5500
insertion_sort,average,4000,1667400
insertion_sort,worst,4000,4398900
selection_sort,best,4000,18852900
selection_sort,average,4000,18669100
selection_sort,worst,4000,18598500
merge_sort,best,4000,85400
merge_sort,average,4000,325800
merge_sort,worst,4000,80100
quick_sort,best,4000,5191500
quick_sort,average,4000,208600
quick_sort,worst,4000,4982600
heap_sort,best,4000,236400
heap_sort,average,4000,308300
heap_sort,worst,4000,605700
bubble_sort,best,5000,5073400
bubble_sort,average,5000,13244700
bubble_sort,worst,5000,8734600
insertion_sort,best,5000,3700
insertion_sort,average,5000,2294500
insertion_sort,worst,5000,7568900
selection_sort,best,5000,29650100
selection_sort,average,5000,29230700
selection_sort,worst,5000,29615100
merge_sort,best,5000,186300
merge_sort,average,5000,432100
merge_sort,worst,5000,116600
quick_sort,best,5000,7848800
quick_sort,average,5000,249500
quick_sort,worst,5000,7267400
heap_sort,best,5000,297500
heap_sort,average,5000,282800
heap_sort,worst,5000,393500
bubble_sort,best,6000,5806700
bubble_sort,average,6000,14322400
bubble_sort,worst,6000,15241700
insertion_sort,best,6000,8400
insertion_sort,average,6000,2883000
insertion_sort,worst,6000,7596000
selection_sort,best,6000,42391600
selection_sort,average,6000,43599500
selection_sort,worst,6000,43114000
merge_sort,best,6000,213200
merge_sort,average,6000,439600
merge_sort,worst,6000,209800
quick_sort,best,6000,11809900
quick_sort,average,6000,304000
quick_sort,worst,6000,10396000
heap_sort,best,6000,376000
heap_sort,average,6000,390600
heap_sort,worst,6000,342000
