x,f(x),derivative,antiderivative
0,0,0,0
0.04,0.0016,0.08,2.13333e-05
0.08,0.0064,0.16,0.000170667
0.12,0.0144,0.24,0.000576
0.16,0.0256,0.32,0.00136533
0.2,0.04,0.4,0.00266667
0.24,0.0576,0.48,0.004608
0.28,0.0784,0.56,0.00731733
0.32,0.1024,0.64,0.0109227
0.36,0.1296,0.72,0.015552
0.4,0.16,0.8,0.0213333
0.44,0.1936,0.88,0.0283947
0.48,0.2304,0.96,0.036864
0.52,0.2704,1.04,0.0468693
0.56,0.3136,1.12,0.0585387
0.6,0.36,1.2,0.072
0.64,0.4096,1.28,0.0873813
0.68,0.4624,1.36,0.104811
0.72,0.5184,1.44,0.124416
0.76,0.5776,1.52,0.146325
0.8,0.64,1.6,0.170667
0.84,0.7056,1.68,0.197568
0.88,0.7744,1.76,0.227157
0.92,0.8464,1.84,0.259563
0.96,0.9216,1.92,0.294912
1,1,2,0.333333
1.04,1.0816,2.08,0.374955
1.08,1.1664,2.16,0.419904
1.12,1.2544,2.24,0.468309
1.16,1.3456,2.32,0.520299
1.2,1.44,2.4,0.576
1.24,1.5376,2.48,0.635541
1.28,1.6384,2.56,0.699051
1.32,1.7424,2.64,0.766656
1.36,1.8496,2.72,0.838485
1.4,1.96,2.8,0.914667
1.44,2.0736,2.88,0.995328
1.48,2.1904,2.96,1.0806
1.52,2.3104,3.04,1.1706
1.56,2.4336,3.12,1.26547
1.6,2.56,3.2,1.36533
1.64,2.6896,3.28,1.47031
1.68,2.8224,3.36,1.58054
1.72,2.9584,3.44,1.69615
1.76,3.0976,3.52,1.81726
1.8,3.24,3.6,1.944
1.84,3.3856,3.68,2.0765
1.88,3.5344,3.76,2.21489
1.92,3.6864,3.84,2.3593
1.96,3.8416,3.92,2.50985
2,4,4,2.66667
2.04,4.1616,4.08,2.82989
2.08,4.3264,4.16,2.99964
2.12,4.4944,4.24,3.17604
2.16,4.6656,4.32,3.35923
2.2,4.84,4.4,3.54933
2.24,5.0176,4.48,3.74647
2.28,5.1984,4.56,3.95078
2.32,5.3824,4.64,4.16239
2.36,5.5696,4.72,4.38142
2.4,5.76,4.8,4.608
2.44,5.9536,4.88,4.84226
2.48,6.1504,4.96,5.08433
2.52,6.3504,5.04,5.33434
2.56,6.5536,5.12,5.59241
2.6,6.76,5.2,5.85867
2.64,6.9696,5.28,6.13325
2.68,7.1824,5.36,6.41628
2.72,7.3984,5.44,6.70788
2.76,7.6176,5.52,7.00819
2.8,7.84,5.6,7.31733
2.84,8.0656,5.68,7.63543
2.88,8.2944,5.76,7.96262
2.92,8.5264,5.84,8.29903
2.96,8.7616,5.92,8.64478
3,9,6,9
3.04,9.2416,6.08,9.36482
3.08,9.4864,6.16,9.73937
3.12,9.7344,6.24,10.1238
3.16,9.9856,6.32,10.5182
3.2,10.24,6.4,10.9227
3.24,10.4976,6.48,11.3374
3.28,10.7584,6.56,11.7625
3.32,11.0224,6.64,12.1981
3.36,11.2896,6.72,12.6444
3.4,11.56,6.8,13.1013
3.44,11.8336,6.88,13.5692
3.48,12.1104,6.96,14.0481
3.52,12.3904,7.04,14.5381
3.56,12.6736,7.12,15.0393
3.6,12.96,7.2,15.552
3.64,13.2496,7.28,16.0762
3.68,13.5424,7.36,16.612
3.72,13.8384,7.44,17.1596
3.76,14.1376,7.52,17.7191
3.8,14.44,7.6,18.2907
3.84,14.7456,7.68,18.8744
3.88,15.0544,7.76,19.4704
3.92,15.3664,7.84,20.0788
3.96,15.6816,7.92,20.6997
4,16,8,21.3333
4.04,16.3216,8.08,21.9798
4.08,16.6464,8.16,22.6391
4.12,16.9744,8.24,23.3115
4.16,17.3056,8.32,23.9971
4.2,17.64,8.4,24.696
4.24,17.9776,8.48,25.4083
4.28,18.3184,8.56,26.1343
4.32,18.6624,8.64,26.8739
4.36,19.0096,8.72,27.6273
4.4,19.36,8.8,28.3947
4.44,19.7136,8.88,29.1761
4.48,20.0704,8.96,29.9718
4.52,20.4304,9.04,30.7818
4.56,20.7936,9.12,31.6063
4.6,21.16,9.2,32.4453
4.64,21.5296,9.28,33.2991
4.68,21.9024,9.36,34.1677
4.72,22.2784,9.44,35.0513
4.76,22.6576,9.52,35.9501
4.8,23.04,9.6,36.864
4.84,23.4256,9.68,37.7933
4.88,23.8144,9.76,38.7381
4.92,24.2064,9.84,39.6985
4.96,24.6016,9.92,40.6746
5,25,10,41.6667
5.04,25.4016,10.08,42.6747
5.08,25.8064,10.16,43.6988
5.12,26.2144,10.24,44.7392
5.16,26.6256,10.32,45.796
5.2,27.04,10.4,46.8693
5.24,27.4576,10.48,47.9593
5.28,27.8784,10.56,49.066
5.32,28.3024,10.64,50.1896
5.36,28.7296,10.72,51.3302
5.4,29.16,10.8,52.488
5.44,29.5936,10.88,53.6631
5.48,30.0304,10.96,54.8555
5.52,30.4704,11.04,56.0655
5.56,30.9136,11.12,57.2932
5.6,31.36,11.2,58.5387
5.64,31.8096,11.28,59.802
5.68,32.2624,11.36,61.0835
5.72,32.7184,11.44,62.3831
5.76,33.1776,11.52,63.701
5.8,33.64,11.6,65.0373
5.84,34.1056,11.68,66.3922
5.88,34.5744,11.76,67.7658
5.92,35.0464,11.84,69.1582
5.96,35.5216,11.92,70.5696
6,36,12,72
