data_type,n,Left,Right,Mid
double,10,-0.0483333,0.0516667,-0.000833333
float,10,-0.0483333,0.0516667,-0.000833293
double,11,-0.0440771,0.046832,-0.000688705
float,11,-0.0440771,0.046832,-0.000688692
double,12,-0.0405093,0.0428241,-0.000578704
float,12,-0.0405092,0.0428241,-0.000578662
double,13,-0.0374753,0.0394477,-0.000493097
float,13,-0.0374753,0.0394478,-0.000493069
double,14,-0.0348639,0.0365646,-0.00042517
float,14,-0.0348639,0.0365647,-0.00042512
double,15,-0.0325926,0.0340741,-0.00037037
float,15,-0.0325926,0.0340741,-0.000370314
double,16,-0.030599,0.031901,-0.000325521
float,16,-0.030599,0.031901,-0.000325521
double,17,-0.0288351,0.0299885,-0.000288351
float,17,-0.028835,0.0299885,-0.000288387
double,18,-0.0272634,0.0282922,-0.000257202
float,18,-0.0272634,0.0282922,-0.000257214
double,19,-0.0258541,0.0267775,-0.00023084
float,19,-0.0258541,0.0267775,-0.000230839
double,20,-0.0245833,0.0254167,-0.000208333
float,20,-0.0245833,0.0254167,-0.000208338
double,22,-0.0223829,0.0230716,-0.000172176
float,22,-0.0223829,0.0230716,-0.000172158
double,24,-0.020544,0.0211227,-0.000144676
float,24,-0.020544,0.0211227,-0.000144651
double,26,-0.0189842,0.0194773,-0.000123274
float,26,-0.0189842,0.0194773,-0.000123223
double,28,-0.0176446,0.0180697,-0.000106293
float,28,-0.0176445,0.0180698,-0.000106265
double,30,-0.0164815,0.0168519,-9.25926e-05
float,30,-0.0164815,0.0168519,-9.25561e-05
double,33,-0.0149985,0.0153046,-7.65228e-05
float,33,-0.0149985,0.0153046,-7.64926e-05
double,36,-0.0137603,0.0140175,-6.43004e-05
float,36,-0.0137603,0.0140175,-6.43035e-05
double,39,-0.0127109,0.0129301,-5.47885e-05
float,39,-0.0127109,0.0129301,-5.47071e-05
double,42,-0.0118103,0.0119992,-4.72411e-05
float,42,-0.0118103,0.0119993,-4.71969e-05
double,46,-0.0107908,0.0109483,-3.93825e-05
float,46,-0.0107908,0.0109483,-3.93589e-05
double,50,-0.00993333,0.0100667,-3.33333e-05
float,50,-0.00993337,0.0100666,-3.33687e-05
double,55,-0.00903581,0.00914601,-2.75482e-05
float,55,-0.00903588,0.00914596,-2.76168e-05
double,60,-0.00828704,0.00837963,-2.31481e-05
float,60,-0.00828697,0.00837971,-2.31167e-05
